"","Label","Type","00- Reference model","01- dockside '15","02- dockside '15 noxvar","03- private boat noxvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- 2015 Ct","15-2015 Ct, ds noxvar","16- Sex = 3"
"48",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",NA,"Private_Boat",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"50",NA,"Charter",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"51",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"52","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"ALL",3093,3094.06,3176.97,3093.04,3091.53,3092.38,3091.65,3092.16,3092.99,3093.23,3093.02,16487.6,35015.3,2303.33,3090.1,3185.37,2983.8
"54",NA,"Trawl",263.936,262.651,246.68,263.973,265.07,265.081,266.157,263.202,263.996,263.827,263.948,2396.36,4458.18,633.953,258.889,241.058,260.193
"55",NA,"NonTRWL",957.605,958.646,1009.29,957.75,956.921,956.164,956.013,958.552,957.725,957.82,957.773,1878.6,3713.91,532.958,957.107,1009.82,926.931
"56",NA,"Recreational",1871.46,1872.76,1921,1871.32,1869.54,1871.14,1869.48,1870.4,1871.27,1871.58,1871.3,12212.6,26843.2,1136.42,1874.11,1934.49,1796.68
"57",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",NA,"Private_Boat",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"62",NA,"Charter",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
